མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
,495,332,1,《པེ་》《སྣར་》,ཡི།,
,,333,2,《པེ་》,བཙད།,《སྣར་》,བཅད།
,,334,3,《པེ་》《སྣར་》,༼ཚེ།,
,,335,4,《པེ་》《སྣར་》,ཏེ།,
,,336,5,《པེ་》《སྣར་》,ནས།,
,,337,6,《པེ་》《སྣར་》,བསྒྲུབ།,
,,338,7,《པེ་》《སྣར་》,ཀྱིས།,
,496,339,1,《པེ་》《སྣར་》,ཡི།,
,,340,2,《པེ་》《སྣར་》,ཀྱིས།,
,,341,3,《པེ་》《སྣར་》,ལྟ།,
,,342,4,《པེ་》《སྣར་》,༼དུ།,
,,343,5,《པེ་》《སྣར་》,༼འདིར།,
,,344,6,《པེ་》《སྣར་》,༽ལས།,
,,345,7,《པེ་》《སྣར་》,མཁའི།,
,,346,8,《པེ་》《སྣར་》,༼ན།,
,497,347,1,《པེ་》《སྣར་》,༼ཞེས།,
,,348,2,《པེ་》《སྣར་》,པ།,
,498,349,1,《སྣར་》,པར།,
,,350,2,《པེ་》《སྣར་》,༼དེ།,
,,351,3,《པེ་》《སྣར་》,དེའི།,
,499,352,1,《པེ་》《སྣར་》,གང་།,
,,353,2,《པེ་》《སྣར་》,གྱུར།,
,,354,3,《པེ་》《སྣར་》,༼ཉིད་ཀྱི།,
,,355,4,《པེ་》《སྣར་》,ལས་བལྟོས།,
,,356,5,《པེ་》《སྣར་》,༼དེ།,
,500,357,1,《པེ་》《སྣར་》,གི།,
,,358,2,《པེ་》《སྣར་》,པའི།,
,,359,3,《པེ་》《སྣར་》,གྱུར།,
,,360,4,《པེ་》《སྣར་》,༼དག,
,,361,5,《པེ་》《སྣར་》,གི།,
,,362,6,《པེ་》《སྣར་》,པ།,
,501,363,1,《པེ་》《སྣར་》,༼ནི།,
,,364,2,《པེ་》《སྣར་》,ཀྱི།,
,,365,3,《པེ་》《སྣར་》,ཀཱ་ཏྱཱ།,
,502,366,1,《པེ་》《སྣར་》,༽པ།,
,,367,2,《པེ་》《སྣར་》,གྱི།,
,,368,3,《པེ་》《སྣར་》,དེས་ནི་ལྟ།,
,,369,4,《པེ་》《སྣར་》,གཏོགས།,
,,370,5,《པེ་》《སྣར་》,སྒྲིབས།,
,,371,6,《པེ་》《སྣར་》,བལྟ།,
,,372,7,《སྣར་》,ན།,
,,373,8,《པེ་》《སྣར་》,༼བསྟན་པས་སའི་ཁམས།,
,,374,9,《པེ་》《སྣར་》,པོར།,
,,375,10,《པེ་》《སྣར་》,༼ནི།,
,,376,11,《པེ་》《སྣར་》,བསམས་སོ།,
,503,377,1,《པེ་》《སྣར་》,༼འདིར།,
,,378,2,《པེ་》《སྣར་》,ཡང་།,
,,379,3,《པེ་》《སྣར་》,རིག,
,,380,4,《པེ་》《སྣར་》,༼ཡང་།,
,504,381,1,《པེ་》,འགྱུར།,
,,382,2,《པེ་》《སྣར་》,ལའང་།,
,,383,3,《པེ་》《སྣར་》,བརྟག,
,,384,4,《པེ་》《སྣར་》,༼པ།,
