མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
,,343,2,《སྣར་》,འདིར།,,,,,
,,344,3,《པེ་》《སྣར་》,mན་གཟུང་།,,,,,
,159,345,1,《པེ་》《སྣར་》,གི།,,,,,
,,346,2,《པེ་》《སྣར་》,mན།,,,,,
,,347,3,《པེ་》,པ།,,,,,
,,348,4,《པེ་》,གཉིས་ཀྱང་།,《སྣར་》,གཅེས་ཀྱང་།,,,
,,349,5,《པེ་》《སྣར་》,འདྲ་སྟེ།,,,,,
,,350,6,《པེ་》《སྣར་》,pམ།,,,,,
,160,351,1,《པེ་》,mཤ་ལ།,,,,,
,161,352,1,《པེ་》《སྣར་》,རེ།,,,,,
,,353,2,《སྣར་》,དེས།,,,,,
,,354,3,《པེ་》《སྣར་》,mདེ།,,,,,
,,355,4,《སྣར་》,mདེ།,,,,,
,,356,5,《པེ་》《སྣར་》,གྱིས།,,,,,
,,357,6,《པེ་》《སྣར་》,བཟང་།,,,,,
,,358,7,《པེ་》,རྟོག,《སྣར་》,རྟོགས།,,,
,162,359,1,《པེ་》《སྣར་》,ཕ།,,,,,
,,360,2,《པེ་》《སྣར་》,སྤྱད།,,,,,
,,361,3,《པེ་》《སྣར་》,འབྱུང་།,,,,,
,,362,4,《པེ་》《སྣར་》,mཔ།,,,,,
,,363,45,《པེ་》《སྣར་》,pལ།,,,,,
,,364,6,《པེ་》《སྣར་》,བསྒོམ།,,,,,
,,365,7,《པེ་》《སྣར་》,pཔ་མེད།,,,,,
,163,366,1,《པེ་》《སྣར་》,སྒོམ་པ་གོམས་པ་འཇུག,《ཅོ་》,བསྒོམ་པ་གམས་པར་འཇུག,,,
,,367,2,《པེ་》《སྣར་》,པ།,,,,,
,,368,3,《པེ་》《སྣར་》,ལྟ།,,,,,
,,369,4,《པེ་》《སྣར་》,ལ།,,,,,
,,370,5,《པེ་》《སྣར་》,pདེ།,,,,,
,,371,6,《པེ་》《སྣར་》,mཏེ།,,,,,
,164,372,1,《པེ་》《སྣར་》,བས།,,,,,
,,373,2,《པེ་》《སྣར་》,བ།,,,,,
,,374,3,《པེ་》《སྣར་》,སྡུག,,,,,
,,375,4,《པེ་》《སྣར་》,mདེ།,,,,,
,165,376,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,377,2,《པེ་》《སྣར་》,པོའི།,,,,,
,,378,3,《པེ་》《སྣར་》,ལྡན།,,,,,
,166,379,1,《སྣར་》,ཡིད།,,,,,
,,380,2,《པེ་》《སྣར་》,སྐ།,,,,,
,,381,3,《པེ་》《སྣར་》,mཇི་ལྟར་ཞེ་ན།,,,,,
,,382,4,《པེ་》《སྣར་》,གི།,,,,,
,,383,5,《པེ་》《སྣར་》,ལྟ།,,,,,
,167,384,1,《པེ་》《སྣར་》,འཐད།,,,,,
,,385,2,《པེ་》《སྣར་》,རོ།,,,,,
,,386,3,《པེ་》《སྣར་》,ལྟ།,,,,,
,,387,4,《པེ་》《སྣར་》,གིས།,,,,,
,168,388,1,《པེ་》《སྣར་》,གིས།,,,,,
,,389,2,《པེ་》《སྣར་》,ཚིག,,,,,
,,390,3,《པེ་》《སྣར་》,ཡིན།,,,,,
,,391,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,169,392,1,《པེ་》《སྣར་》,དོ།།,,,,,
,,393,2,《པེ་》《སྣར་》,ལྟར།,,,,,
,,394,3,《པེ་》《སྣར་》,མིག,,,,,
,,395,4,《པེ་》《སྣར་》,pབ།,,,,,
,,396,5,《པེ་》《སྣར་》,ནི།,,,,,
,,397,6,《སྣར་》,pལ།,,,,,
,,398,7,《པེ་》《སྣར་》,པའོ།།,,,,,
,170,399,1,《པེ་》《སྣར་》,ལ།,,,,,
,,400,2,《ཅོ་》,mནི།,,,,,
,,401,3,《པེ་》《སྣར་》,pཔོ།,,,,,
,,402,4,《པེ་》《སྣར་》,ཡིན།,,,,,
,,403,5,《པེ་》《སྣར་》,མྱང,,,,,
,,404,6,《པེ་》《སྣར་》,དོ།།,,,,,
,,405,7,《སྣར་》,ནས།,,,,,
,,406,8,《སྣར་》,དོ།།,,,,,
,,407,9,《པེ་》《སྣར་》,གི།,,,,,
,,408,10,《པེ་》《སྣར་》,པོར།,,,,,
,171,409,1,《པེ་》《སྣར་》,དེ་ནི།,,,,,
,,410,2,《པེ་》《སྣར་》,བརྟག།,,,,,
,,411,3,《པེ་》《སྣར་》,pདང་།,,,,,
,,412,4,《སྣར་》,པོ།,,,,,
,,413,5,《སྣར་》,སྐྱེད།,,,,,
,172,414,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,415,2,《པེ་》,བལྟ།,《སྣར་》,བལྟ་བ།,,,
,173,416,1,《པེ་》《སྣར་》,པ།,,,,,
,,417,2,《པེ་》《སྣར་》,ཞིག,,,,,
,,418,3,《པེ་》《སྣར་》,གི།,,,,,
,,419,4,《པེ་》《སྣར་》,ན།,,,,,
,174,420,1,《པེ་》《སྣར་》,སྣང་།,,,,,
,,421,2,《པེ་》,mམ།,,,,,
,175,422,1,《པེ་》《སྣར་》,mམ།,,,,,
,,423,2,《པེ་》《སྣར་》,pནི།,,,,,
,,424,3,《པེ་》《སྣར་》,mབ།,,,,,
,176,425,1,《ཅོ་》,མིན།,,,,,
,,426,2,《པེ་》《སྣར་》,བར།,,,,,
,,427,3,《པེ་》,mཡིན།,,,,,
